Index,url,Absolute reduction,Max. efficiency (%),Width (mm),Weight (g),Outer diameter (mm)
0,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB12/GB12-1stufig-BRONZE/735901,30/1,65.0,110.0,1500,12.0
1,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110321,57/13,90.0,15.5,20,16.0
2,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110322,3249/169,81.0,19.1,23,16.0
3,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110323,185193/2197,73.0,22.7,27,16.0
4,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110324,10556001/28561,65.0,26.3,31,16.0
5,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110325,601692057/371293,59.0,29.9,35,16.0
6,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/110339,185193/2197,59.0,36.2,68,22.0
7,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/110340,10556001/28561,49.0,43.0,81,22.0
8,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/134158,225/16,70.0,29.4,55,22.0
9,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/134170,41553/325,59.0,36.2,68,22.0
10,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143974,225/16,70.0,32.2,55,22.0
11,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143984,185193/2197,59.0,39.0,68,22.0
12,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143988,41553/325,59.0,39.0,68,22.0
13,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143996,10556001/28561,49.0,45.8,81,22.0
14,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166159,624/35,75.0,36.4,162,32.0
15,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166165,16224/245,70.0,43.1,194,32.0
16,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166169,13824/125,70.0,43.1,194,32.0
17,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166174,421824/1715,60.0,49.8,226,32.0
18,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166931,24/5,80.0,26.5,118,32.0
19,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166934,624/35,75.0,36.4,162,32.0
20,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166940,16224/245,70.0,43.1,194,32.0
21,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166944,13824/125,70.0,43.1,194,32.0
22,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166951,389376/1225,60.0,49.8,226,32.0
23,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203114,13/3,90.0,41.0,260,42.0
24,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203116,91/6,81.0,55.5,360,42.0
25,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203119,26/1,81.0,55.5,360,42.0
26,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203120,343/8,72.0,70.0,460,42.0
27,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203129,156/1,72.0,70.0,460,42.0
28,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223081,13/3,91.0,49.0,460,52.0
29,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223085,169/9,83.0,65.0,620,52.0
30,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223089,343/8,75.0,78.5,770,52.0
31,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223093,2197/27,75.0,78.5,770,52.0
32,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/320247,676/49,75.0,48.1,178,32.0
33,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/326666,3887/49,70.0,54.8,213,32.0
34,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/326672,12167/64,60.0,61.5,249,32.0
35,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/328699,10556001/28561,65.0,30.4,33,16.0
36,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/370689,3249/169,70.0,32.3,64,22.0
37,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/370776,3375/64,59.0,38.95,78,22.0
38,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/370785,41553/325,59.0,39.0,78,22.0
39,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/407883,3249/169,81.0,23.2,25,16.0
40,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/409667,50625/256,65.0,45.0,96,22.0
41,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/410558,3375/64,78.0,38.2,82,22.0
42,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/410637,225/16,87.0,29.7,65,22.0
