index,url,Gearhead type,Version,Reduction (:1),Absolute reduction,Number of stages,Max. continuous torque (Nm),Max. intermittent torque (Nm),"Direction of rotation, drive to output",Max. efficiency (%),Gearhead length (L1) (mm),Bearing at output,Max. radial load,Max. axial load (dynamic) (N),Max. continuous input speed (rpm),Max. intermittent input speed (rpm),Recommended temperature range (°C),Weight (g),Outer diameter (mm),Average backlash no load (°),Max. motor shaft diameter (mm),Mass inertia (gcm²),Max. transmittable power (continuous) (W),Max. transmittable power (intermittent) (W),Radial play,Axial play (mm),Max. force for press fits (N),Extended temperature range (°C),Number of autoclave cycles,Max. feed velocity (mm/s),Max. feed force continuous (N),Max. feed force intermittent (N),Mechanical positioning accuracy (mm),Spindle length (mm),Axial play of the nut (mm)
0,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB9/GB9-1stufig-KOMPOSIT/735894,GB9,Reduced noise level,15,15/1,1,50,80,=,85,138,ball bearing,"800 N, 12 mm from flange",600,4000,5000,-30...+130,2300,,,,,,,,,,,,,,,,,
1,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB9/GB9-1stufig-KOMPOSIT/735895,GB9,Reduced noise level,30,30/1,1,50,80,=,,138,ball bearing,"800 N, 12 mm from flange",600,4000,5000,-30...+130,2300,,,,,,,,,,,,,,,,,
2,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB9/GB9-1stufig-KOMPOSIT/735896,GB9,Reduced noise level,60,60/1,1,50,80,=,,138,ball bearing,"800 N, 12 mm from flange",600,4000,5000,-30...+130,2300,,,,,,,,,,,,,,,,,
3,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB12/GB12-1stufig-BRONZE/735900,GB12,Standard version,15,15/1,1,30,48,=,75,110,ball bearing,"800 N, 12 mm from flange",600,4000,5000,-30...+130,1500,,,,,,,,,,,,,,,,,
4,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB12/GB12-1stufig-BRONZE/735901,GB12,Standard version,30,30/1,1,30,48,=,65,110,ball bearing,"800 N, 12 mm from flange",600,4000,5000,-30...+130,1500,12,,,,,,,,,,,,,,,,
5,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB12/GB12-1stufig-BRONZE/735902,GB12,Standard version,60,60/1,1,30,48,=,50,110,ball bearing,"800 N, 12 mm from flange",600,4000,5000,-30...+130,1500,,,,,,,,,,,,,,,,,
6,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB80/GB80-1stufig-KOMPOSIT/812954,GB80,Reduced noise level,15.5,16/1,1,8,13,=,77,80,ball bearing,"500 N, 12 mm from flange",150,4000,5000,-30...+130,700,,,,,,,,,,,,,,,,,
7,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB80/GB80-1stufig-KOMPOSIT/848376,GB80,Reduced noise level,30,,1,8,13,=,,80,ball bearing,"500 N, 12 mm from flange",150,,5000,-30...+130,700,,,,,,,,,,,,,,,,,
8,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB80/GB80-1stufig-KOMPOSIT/848379,GB80,Reduced noise level,60,,1,6,13,=,,80,ball bearing,"500 N, 12 mm from flange",150,,5000,-30...+130,700,,,,,,,,,,,,,,,,,
9,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB65/GB65-2stufig-STAHL-BRONZE/848390,GB65,Standard version,80,80/1,1,120,300,=,70,151,ball bearing,"3000 N, 12 mm from flange",1000,4000,5000,-30...+120,3500,,35,,,,,,,,,,,,,,,
10,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB65/GB65-2stufig-STAHL-BRONZE/848392,GB65,Standard version,120,120/1,1,120,300,=,60,151,ball bearing,"3000 N, 12 mm from flange",1000,4000,5000,-30...+120,3500,,35,,,,,,,,,,,,,,,
11,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB65/GB65-2stufig-STAHL-BRONZE/848393,GB65,Standard version,160,160/1,1,,300,=,55,151,ball bearing,"3000 N, 12 mm from flange",1000,4000,5000,-30...+120,3500,,35,,,,,,,,,,,,,,,
12,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110321,GP,Standard version,4.4,57/13,1,0.1,0.15,=,90,15.5,sleeve bearing,"8 N, 6 mm from flange",8,8000,8000,-30...+100,20,16,1.4,2,0.07,1.9,2.4,"0.06 mm, 6 mm from flange",0.02 - 0.1,100,-40...+100,0.0,,,,,,
13,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110322,GP,Standard version,19,3249/169,2,0.15,0.225,=,81,19.1,sleeve bearing,"12 N, 6 mm from flange",8,8000,8000,-30...+100,23,16,1.6,2,0.05,5.2,6.5,"0.06 mm, 6 mm from flange",0.02 - 0.1,100,-40...+100,0.0,,,,,,
