Index,url,diameter (mm),width (mm),Nominal speed (rpm),Nominal torque (max. continuous torque) (mNm),Max. efficiency (%),Weight (g)
0,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframeless/EC90Frameless/542099,90,42.0,1770,989.0,87,814
1,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607326,90,39.9,1770,989.0,87,985
2,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/500266,90,39.9,1780,988.0,87,985
3,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/500267,90,39.9,1670,964.0,87,985
4,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframeless/EC90Frameless/581294,90,42.0,1660,964.0,86,814
5,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/500268,90,39.9,1690,963.0,87,985
6,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframeless/EC90Frameless/581295,90,42.0,1690,963.0,87,814
7,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607328,90,39.9,1690,963.0,87,985
8,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607950,90,39.9,2340,961.0,85,638
9,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607954,90,39.9,2340,961.0,85,638
10,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607953,90,39.9,2310,958.0,84,638
11,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607951,90,39.9,2270,941.0,84,638
12,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607955,90,39.9,2270,941.0,84,638
13,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607952,90,39.9,1890,901.0,84,638
14,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607956,90,39.9,1890,901.0,84,638
15,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607942,90,27.4,2490,729.0,85,624
16,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607946,90,27.4,2490,729.0,85,624
17,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607943,90,27.4,2420,721.0,85,624
18,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607947,90,27.4,2420,715.0,85,624
19,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607944,90,27.4,2020,697.0,84,624
20,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607948,90,27.4,2020,691.0,84,624
21,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/429271,90,28.7,2510,560.0,86,600
22,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/244879,90,26.7,1610,533.0,85,600
23,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/515458,90,27.4,2720,462.0,85,635
24,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframeless/EC90Frameless/543673,90,29.5,2710,462.0,85,490
25,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607322,90,27.4,2710,462.0,85,655
26,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/580047,90,27.4,2200,460.0,84,635
27,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframeless/EC90Frameless/581302,90,29.5,2200,460.0,84,490
28,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607324,90,27.4,2200,460.0,84,655
29,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframeless/EC90Frameless/588847,90,29.5,2670,459.0,83,490
30,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607321,90,27.4,2670,459.0,83,655
31,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/505592,90,27.4,2630,457.0,85,635
32,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframeless/EC90Frameless/581301,90,29.5,2630,457.0,85,490
33,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607323,90,27.4,2630,457.0,85,655
34,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/323772,90,28.7,2590,444.0,83,600
35,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607937,90,52.4,1620,1610.0,87,988
36,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/597974,90,52.4,1620,1560.0,87,988
37,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607938,90,52.4,1620,1560.0,87,988
38,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/597976,90,52.4,1540,1500.0,86,988
39,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607940,90,52.4,1540,1500.0,86,988
40,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/597975,90,52.4,1520,1490.0,86,988
41,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607939,90,52.4,1520,1490.0,86,988
42,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607933,90,39.9,1700,1300.0,87,964
43,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607930,90,39.9,1700,1260.0,87,964
44,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607934,90,39.9,1700,1260.0,87,964
45,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607932,90,39.9,1620,1220.0,87,964
46,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607936,90,39.9,1620,1220.0,87,964
47,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607931,90,39.9,1600,1210.0,87,964
48,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607935,90,39.9,1600,1210.0,87,964
49,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframeless/EC90Frameless/588849,90,42.0,1770,1020.0,86,814
50,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat90/607325,90,39.9,1770,1020.0,86,985
51,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat92/371119,9,12.5,3950,0.734,52,3
52,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat92/624161,9,12.5,3950,0.734,52,3
53,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat92/371120,9,12.5,3620,0.702,50,3
54,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat92/624162,9,12.5,3620,0.702,50,3
55,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat92/624163,9,12.5,5240,0.684,51,3
56,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat92/371122,9,12.5,5450,0.683,51,3
57,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecframelessdt/ECDT85Frameless/740953,85,33.0,2850,1710.0,94,741
58,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1KF50N1IL1D569A,8,23.0,21200,1.26,66,6
59,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1KF50N1IL1D569B,8,23.0,21200,1.26,66,6
60,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1KF50N1IL1D593A,8,23.0,22800,1.26,67,6
61,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1KF50N1IL1D593B,8,23.0,22800,1.26,67,6
62,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1KF50N1IL1D509A,8,23.0,26700,1.23,66,6
63,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1KF50N1IL1D509B,8,23.0,26700,1.23,66,6
64,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec/ec8/384406,8,23.0,24000,0.977,67,6
65,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec/ec8/468334,8,23.0,24000,0.977,67,6
66,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec/ec8/468337,8,23.0,24000,0.977,67,6
67,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec/ec8/384407,8,23.0,32800,0.945,69,6
68,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec/ec8/468336,8,23.0,32000,0.944,70,6
69,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec/ec8/468339,8,23.0,32000,0.944,70,6
70,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec/ec8/468335,8,23.0,32800,0.942,69,6
71,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec/ec8/468338,8,23.0,32800,0.942,69,6
72,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1VF44N1IL1D527A,8,23.0,24200,0.917,60,6
73,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1VF44N1IL1D527B,8,23.0,24200,0.917,60,6
74,https://www.maxongroup.com/maxon/view/product/motor/Konfigurierbare-Motoren/Buerstenlose-DC-Motoren/ECX08-SPEED/ECXZ08M1VF44N1IL1D649A,8,23.0,32300,0.877,64,6
