index,url,Nominal voltage (V),No load speed (rpm),No load current (mA),Nominal speed (rpm),Nominal torque (max. continuous torque) (mNm),Nominal current (max. continuous current) (A),Stall torque (mNm),Stall current (A),Max. efficiency (%),Terminal resistance (Ω),Terminal inductance (mH),Torque constant (mNm/A),Speed constant (rpm/V),Speed / torque gradient (rpm/mNm),Mechanical time constant (ms),Rotor inertia (gcm²),Thermal resistance housing-ambient (K/W),Thermal resistance winding-housing (K/W),Thermal time constant winding (s),Thermal time constant motor (s),Ambient temperature (°C),Max. winding temperature (°C),Max. speed (rpm),Axial play (mm) (N),Unnamed: 26 (N),Radial play (mm),Max. axial load (dynamic) (N),Max. force for press fits (static) (N),"(static, shaft supported) (N)",Max. radial load,Number of pole pairs,Number of phases,Number of autoclave cycles,Weight (g),Bearing type,Number of commutator segments,Protection
0,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22LZF50E6ILACV1Y546A,18,11700,107,8530,33.1,2.28,131,12.6,79,1.43,0.251,14.5,658,64.8,4.63,6.82,3.25,5.71,5.96,7.77,-40...+100,+155,15000,"0 mm, at radial load < 1.5","0.14 mm, at radial load > 1.5",0,1.8,26,200,"3.5 N, 5 mm from flange",6,3.0,0.0,32,,,
1,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22LZF50E6ILACV1Y620A,36,11100,48.5,8010,32.3,1.05,126,5.58,78,6.45,1.12,30.7,311,65.4,4.67,6.82,3.42,5.83,6.02,8.18,-40...+100,+155,15000,"0 mm, at radial load < 1.5","0.14 mm, at radial load > 1.5",0,1.8,26,200,"3.5 N, 5 mm from flange",6,3.0,0.0,32,,,
2,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22SZF50E6ILACV1Y546A,12,13300,122,10300,14.9,1.74,64.1,11.1,81,1.08,0.158,8.47,1130,143,7.26,4.84,9.39,12.9,10.3,22.4,-40...+100,+155,15000,"0 mm, at radial load < 1.5","0.14 mm, at radial load > 1.5",0,1.8,26,200,"3.5 N, 5 mm from flange",6,3.0,0.0,26,,,
3,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22SZF50E6ILACV1Y596A,18,12100,69.4,9200,15.5,1.08,63.2,6.51,81,2.77,0.431,14,682,135,6.82,4.84,9.81,12.4,10.6,23.5,-40...+100,+155,15000,"0 mm, at radial load < 1.5","0.14 mm, at radial load > 1.5",0,1.8,26,200,"3.5 N, 5 mm from flange",6,3.0,0.0,26,,,
4,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22SZF50E6ILACV1Y620A,24,12600,55.7,9640,14.9,0.817,62.7,5,80,4.8,0.706,17.9,533,143,7.24,4.84,9.64,12.6,9.95,23,-40...+100,+155,15000,"0 mm, at radial load < 1.5","0.14 mm, at radial load > 1.5",0,1.8,26,200,"3.5 N, 5 mm from flange",6,3.0,0.0,26,,,
5,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-32/ECXA32LZF50E6ILACV1Y509A,18,10600,255,7740,102,6.05,407,55.7,80,0.323,0.191,16,598,12.1,3.89,30.7,0.889,4.5,14.8,31.6,-40...+100,+155,14000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,45,1000,"12 N, 5 mm from flange",6,3.0,0.0,71,,,
6,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-32/ECXA32LZF50E6ILACV1Y538A,24,10600,191,7820,111,4.87,438,51.6,81,0.465,0.339,21.3,448,9.79,3.15,30.7,0.881,4.48,17.8,31.4,-40...+100,+155,14000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,45,1000,"12 N, 5 mm from flange",6,3.0,0.0,71,,,
7,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-32/ECXA32LZF50E6ILACV1Y560A,36,12800,174,9550,114,4.02,473,51.1,82,0.705,0.53,26.6,359,9.5,3.05,30.7,0.731,4.2,16.7,26,-40...+100,+155,14000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,45,1000,"12 N, 5 mm from flange",6,3.0,0.0,71,,,
8,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-32/ECXA32LZF50E6ILACV1Y581A,48,13800,149,10400,115,3.28,488,44.9,82,1.07,0.805,32.8,291,9.47,3.04,30.7,0.675,4.07,15.7,24,-40...+100,+155,14000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,45,1000,"12 N, 5 mm from flange",6,3.0,0.0,71,,,
9,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-42/ECXA42MZF50E8ILACV1Y519A,24,8050,361,6100,285,9.64,1110,103,82,0.233,0.153,28.2,339,2.81,2.54,86.2,0.73,1.93,12.8,40.6,-40...+100,+155,10000,"0 mm, at radial load < 6","0.14 mm, at radial load > 6",0,6,86,1300,"40 N, 5 mm from flange",8,3.0,0.0,127,,,
10,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-42/ECXA42MZF50E8ILACV1Y595A,48,7560,162,5740,292,4.61,1140,51.4,83,0.933,0.698,60.1,159,2.47,2.23,86.2,0.771,1.99,13.9,42.8,-40...+100,+155,10000,"0 mm, at radial load < 6","0.14 mm, at radial load > 6",0,6,86,1300,"40 N, 5 mm from flange",8,3.0,0.0,127,,,
11,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-42/ECXA42SZF50E8ILACV1Y558A,24,9120,344,7070,171,6.96,618,67.6,79,0.355,0.178,24.8,385,5.52,3.78,65.3,0.589,2.93,12.6,32.7,-40...+100,+155,10000,"0 mm, at radial load < 6","0.14 mm, at radial load > 6",0,6,86,1300,"35 N, 5 mm from flange",8,3.0,0.0,106,,,
12,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-42/ECXA42SZF50E8ILACV1Y631A,48,8730,159,6810,173,3.36,634,34.2,80,1.41,0.779,51.8,184,5,3.42,65.3,0.61,2.98,13.8,33.9,-40...+100,+155,10000,"0 mm, at radial load < 6","0.14 mm, at radial load > 6",0,6,86,1300,"35 N, 5 mm from flange",8,3.0,0.0,106,,,
13,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX16-PRIME/ECXZ16M4KF50K2IL1Y497A,12,15600,103,12800,14.2,2.02,85.6,11.7,82,1.02,0.0485,7.29,1310,184,1.98,1.03,17.3,1.98,3.75,209,-20...+100,+155,25000,"0 mm, at radial load < 1","0.14 mm, at radial load > 1",,1,50,1000,"10 N, 5 mm from flange",2,3.0,0.0,43,Waelzlager,,
14,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX16-PRIME/ECXZ16M4KF50K2IL1Y538A,18,15600,69,12800,14.2,1.35,86.5,7.91,83,2.28,0.111,10.9,873,182,1.96,1.03,17.3,1.98,3.75,209,-20...+100,+155,25000,"0 mm, at radial load < 1","0.14 mm, at radial load > 1",,1,50,1000,"10 N, 5 mm from flange",2,3.0,0.0,43,Waelzlager,,
15,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX16-PRIME/ECXZ16M4KF50K2IL1Y566A,24,15600,51.8,12900,14.6,1.04,91.5,6.27,83,3.83,0.193,14.6,655,172,1.85,1.03,17.3,1.98,3.98,209,-20...+100,+155,25000,"0 mm, at radial load < 1","0.14 mm, at radial load > 1",,1,50,1000,"10 N, 5 mm from flange",2,3.0,0.0,43,Waelzlager,,
16,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX16-PRIME/ECXZ16M4KN50K2SC1Y497A,12,15500,109,12800,14.4,2.05,85.6,11.7,82,1.02,0.0506,7.3,1310,183,2.27,1.18,17.3,1.98,3.79,363,-40...+135,+155,40000,"0 mm, at radial load < 1","0.14 mm, at radial load > 1",,1,50,1000,"10 N, 5 mm from flange",2,3.0,1000.0,43,Waelzlager,,
