index,url,Gearhead type,Version,Reduction,Absolute reduction,Number of stages,Max. continuous torque,Max. intermittent torque,"Direction of rotation, drive to output",Max. efficiency,Gearhead length (L1),Bearing at output,Max. radial load,Max. axial load (dynamic),Max. continuous input speed,Max. intermittent input speed,Recommended temperature range,Weight,Outer diameter,Average backlash no load,Max. motor shaft diameter,Mass inertia,Max. transmittable power (continuous),Max. transmittable power (intermittent),Radial play,Axial play,Max. force for press fits,Extended temperature range,Number of autoclave cycles,Max. feed velocity,Max. feed force continuous,Max. feed force intermittent,Mechanical positioning accuracy,Spindle length,Axial play of the nut
0,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB9/GB9-1stufig-KOMPOSIT/735894,GB9 ,Reduced noise level ,15 : 1 ,15/1 ,1 ,50 Nm,80 Nm,= ,85 %,138 mm,ball bearing ,"800 N, 12 mm from flange ",600 N,4000 rpm,5000 rpm,-30...+130 °C,2300 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB9/GB9-1stufig-KOMPOSIT/735895,GB9 ,Reduced noise level ,30 : 1 ,30/1 ,1 ,50 Nm,80 Nm,= ,N/A,138 mm,ball bearing ,"800 N, 12 mm from flange ",600 N,4000 rpm,5000 rpm,-30...+130 °C,2300 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB9/GB9-1stufig-KOMPOSIT/735896,GB9 ,Reduced noise level ,60 : 1 ,60/1 ,1 ,50 Nm,80 Nm,= ,N/A,138 mm,ball bearing ,"800 N, 12 mm from flange ",600 N,4000 rpm,5000 rpm,-30...+130 °C,2300 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB12/GB12-1stufig-BRONZE/735900,GB12 ,Standard version ,15 : 1 ,15/1 ,1 ,30 Nm,48 Nm,= ,75 %,110 mm,ball bearing ,"800 N, 12 mm from flange ",600 N,4000 rpm,5000 rpm,-30...+130 °C,1500 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB12/GB12-1stufig-BRONZE/735901,GB12 ,Standard version ,30 : 1 ,30/1 ,1 ,30 Nm,48 Nm,= ,65 %,110 mm,ball bearing ,"800 N, 12 mm from flange ",600 N,4000 rpm,5000 rpm,-30...+130 °C,1500 g,12 mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB12/GB12-1stufig-BRONZE/735902,GB12 ,Standard version ,60 : 1 ,60/1 ,1 ,30 Nm,48 Nm,= ,50 %,110 mm,ball bearing ,"800 N, 12 mm from flange ",600 N,4000 rpm,5000 rpm,-30...+130 °C,1500 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB80/GB80-1stufig-KOMPOSIT/812954,GB80 ,Reduced noise level ,15.5 : 1 ,16/1 ,1 ,8 Nm,13 Nm,= ,77 %,80 mm,ball bearing ,"500 N, 12 mm from flange ",150 N,4000 rpm,5000 rpm,-30...+130 °C,700 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB80/GB80-1stufig-KOMPOSIT/848376,GB80 ,Reduced noise level ,30 : 1 ,N/A,1 ,8 Nm,13 Nm,= ,N/A,80 mm,ball bearing ,"500 N, 12 mm from flange ",150 N,N/A,5000 rpm,-30...+130 °C,700 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB80/GB80-1stufig-KOMPOSIT/848379,GB80 ,Reduced noise level ,60 : 1 ,N/A,1 ,6 Nm,13 Nm,= ,N/A,80 mm,ball bearing ,"500 N, 12 mm from flange ",150 N,N/A,5000 rpm,-30...+130 °C,700 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,https://www.maxongroup.com/maxon/view/product/gear/wormgear/GB65/GB65-2stufig-STAHL-BRONZE/848390,GB65 ,Standard version ,80 : 1 ,80/1 ,1 ,120 Nm,300 Nm,= ,70 %,151 mm,ball bearing ,"3000 N, 12 mm from flange ",1000 N,4000 rpm,5000 rpm,-30...+120 °C,3500 g,N/A,35 °,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
