index,url,Nominal voltage,No load speed,No load current,Nominal speed,Nominal torque (max. continuous torque),Nominal current (max. continuous current),Stall torque,Stall current,Max. efficiency,Terminal resistance,Terminal inductance,Torque constant,Speed constant,Speed / torque gradient,Mechanical time constant,Rotor inertia,Thermal resistance housing-ambient,Thermal resistance winding-housing,Thermal time constant winding,Thermal time constant motor,Ambient temperature,Max. winding temperature,Max. speed,Axial play,,Radial play,Max. axial load (dynamic),Max. force for press fits (static),"(static, shaft supported)",Max. radial load,Number of pole pairs,Number of phases,Number of autoclave cycles,Weight,Bearing type,Number of commutator segments,Protection
0,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22LZF50E6ILACV1Y546A,18 V,11700 rpm,107 mA,8530 rpm,33.1 mNm,2.28 A,131 mNm,12.6 A,79 %,1.43 Ω,0.251 mH,14.5 mNm/A,658 rpm/V,64.8 rpm/mNm,4.63 ms,6.82 gcm²,3.25 K/W,5.71 K/W,5.96 s,7.77 s,-40...+100 °C,+155 °C,15000 rpm,"0 mm, at radial load < 1.5 N ","0.14 mm, at radial load > 1.5 N ",0 mm,1.8 N,26 N,200 N,"3.5 N, 5 mm from flange ",6 ,3 ,0 ,32 g,N/A,N/A,N/A
1,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22LZF50E6ILACV1Y620A,36 V,11100 rpm,48.5 mA,8010 rpm,32.3 mNm,1.05 A,126 mNm,5.58 A,78 %,6.45 Ω,1.12 mH,30.7 mNm/A,311 rpm/V,65.4 rpm/mNm,4.67 ms,6.82 gcm²,3.42 K/W,5.83 K/W,6.02 s,8.18 s,-40...+100 °C,+155 °C,15000 rpm,"0 mm, at radial load < 1.5 N ","0.14 mm, at radial load > 1.5 N ",0 mm,1.8 N,26 N,200 N,"3.5 N, 5 mm from flange ",6 ,3 ,0 ,32 g,N/A,N/A,N/A
2,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22SZF50E6ILACV1Y546A,12 V,13300 rpm,122 mA,10300 rpm,14.9 mNm,1.74 A,64.1 mNm,11.1 A,81 %,1.08 Ω,0.158 mH,8.47 mNm/A,1130 rpm/V,143 rpm/mNm,7.26 ms,4.84 gcm²,9.39 K/W,12.9 K/W,10.3 s,22.4 s,-40...+100 °C,+155 °C,15000 rpm,"0 mm, at radial load < 1.5 N ","0.14 mm, at radial load > 1.5 N ",0 mm,1.8 N,26 N,200 N,"3.5 N, 5 mm from flange ",6 ,3 ,0 ,26 g,N/A,N/A,N/A
3,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22SZF50E6ILACV1Y596A,18 V,12100 rpm,69.4 mA,9200 rpm,15.5 mNm,1.08 A,63.2 mNm,6.51 A,81 %,2.77 Ω,0.431 mH,14 mNm/A,682 rpm/V,135 rpm/mNm,6.82 ms,4.84 gcm²,9.81 K/W,12.4 K/W,10.6 s,23.5 s,-40...+100 °C,+155 °C,15000 rpm,"0 mm, at radial load < 1.5 N ","0.14 mm, at radial load > 1.5 N ",0 mm,1.8 N,26 N,200 N,"3.5 N, 5 mm from flange ",6 ,3 ,0 ,26 g,N/A,N/A,N/A
4,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-22/ECXA22SZF50E6ILACV1Y620A,24 V,12600 rpm,55.7 mA,9640 rpm,14.9 mNm,0.817 A,62.7 mNm,5 A,80 %,4.8 Ω,0.706 mH,17.9 mNm/A,533 rpm/V,143 rpm/mNm,7.24 ms,4.84 gcm²,9.64 K/W,12.6 K/W,9.95 s,23 s,-40...+100 °C,+155 °C,15000 rpm,"0 mm, at radial load < 1.5 N ","0.14 mm, at radial load > 1.5 N ",0 mm,1.8 N,26 N,200 N,"3.5 N, 5 mm from flange ",6 ,3 ,0 ,26 g,N/A,N/A,N/A
5,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-32/ECXA32LZF50E6ILACV1Y509A,18 V,10600 rpm,255 mA,7740 rpm,102 mNm,6.05 A,407 mNm,55.7 A,80 %,0.323 Ω,0.191 mH,16 mNm/A,598 rpm/V,12.1 rpm/mNm,3.89 ms,30.7 gcm²,0.889 K/W,4.5 K/W,14.8 s,31.6 s,-40...+100 °C,+155 °C,14000 rpm,"0 mm, at radial load < 4 N ","0.14 mm, at radial load > 4 N ",0 mm,4 N,45 N,1000 N,"12 N, 5 mm from flange ",6 ,3 ,0 ,71 g,N/A,N/A,N/A
6,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-32/ECXA32LZF50E6ILACV1Y538A,24 V,10600 rpm,191 mA,7820 rpm,111 mNm,4.87 A,438 mNm,51.6 A,81 %,0.465 Ω,0.339 mH,21.3 mNm/A,448 rpm/V,9.79 rpm/mNm,3.15 ms,30.7 gcm²,0.881 K/W,4.48 K/W,17.8 s,31.4 s,-40...+100 °C,+155 °C,14000 rpm,"0 mm, at radial load < 4 N ","0.14 mm, at radial load > 4 N ",0 mm,4 N,45 N,1000 N,"12 N, 5 mm from flange ",6 ,3 ,0 ,71 g,N/A,N/A,N/A
7,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-32/ECXA32LZF50E6ILACV1Y560A,36 V,12800 rpm,174 mA,9550 rpm,114 mNm,4.02 A,473 mNm,51.1 A,82 %,0.705 Ω,0.53 mH,26.6 mNm/A,359 rpm/V,9.5 rpm/mNm,3.05 ms,30.7 gcm²,0.731 K/W,4.2 K/W,16.7 s,26 s,-40...+100 °C,+155 °C,14000 rpm,"0 mm, at radial load < 4 N ","0.14 mm, at radial load > 4 N ",0 mm,4 N,45 N,1000 N,"12 N, 5 mm from flange ",6 ,3 ,0 ,71 g,N/A,N/A,N/A
8,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-32/ECXA32LZF50E6ILACV1Y581A,48 V,13800 rpm,149 mA,10400 rpm,115 mNm,3.28 A,488 mNm,44.9 A,82 %,1.07 Ω,0.805 mH,32.8 mNm/A,291 rpm/V,9.47 rpm/mNm,3.04 ms,30.7 gcm²,0.675 K/W,4.07 K/W,15.7 s,24 s,-40...+100 °C,+155 °C,14000 rpm,"0 mm, at radial load < 4 N ","0.14 mm, at radial load > 4 N ",0 mm,4 N,45 N,1000 N,"12 N, 5 mm from flange ",6 ,3 ,0 ,71 g,N/A,N/A,N/A
9,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX-Flat/ECX-Flat-42/ECXA42MZF50E8ILACV1Y519A,24 V,8050 rpm,361 mA,6100 rpm,285 mNm,9.64 A,1110 mNm,103 A,82 %,0.233 Ω,0.153 mH,28.2 mNm/A,339 rpm/V,2.81 rpm/mNm,2.54 ms,86.2 gcm²,0.73 K/W,1.93 K/W,12.8 s,40.6 s,-40...+100 °C,+155 °C,10000 rpm,"0 mm, at radial load < 6 N ","0.14 mm, at radial load > 6 N ",0 mm,6 N,86 N,1300 N,"40 N, 5 mm from flange ",8 ,3 ,0 ,127 g,N/A,N/A,N/A
